index,cluster,song
301,0,stressed out
302,0,panda
303,2,hello
304,2,don't let me down
305,1,can't stop the feeling!
306,1,closer
307,1,cheap thrills
308,1,7 years
309,1,needed me
310,1,my house
311,1,i took a pill in ibiza
312,1,work from home
313,1,this is what you came for
314,1,cake by the ocean
315,0,"me, myself & i"
316,1,ride
317,1,heathens
318,1,pillowtalk
319,2,stitches
320,2,hotline bling
321,1,cold water
322,2,send my love (to your new lover)
323,1,roses
324,1,treat you better
325,1,too good
326,0,low life
327,1,what do you mean?
328,1,the hills
329,2,just like fire
330,0,broccoli
331,1,don't
332,2,dangerous woman
333,0,jumpman
334,1,"i hate u, i love u"
335,0,here
336,1,same old love
337,1,controlla
338,1,like i'm gonna lose you
339,1,one call away
340,2,let it go
341,0,no
342,0,never forget you
343,1,let me love you
344,0,don't mind
345,1,h.o.l.y.
346,1,we don't talk anymore
347,1,into you
348,1,gold
349,2,exchange
350,2,679
351,1,oui
352,1,hands to myself
353,0,2 phones
354,2,starboy
355,0,for free
356,1,never be like you
357,2,in the night
358,1,me too
359,2,ex's & oh's
360,1,die a happy man
361,2,white iverson
362,1,close
363,1,unsteady
364,2,sucker for pain
365,2,down in the dm
366,2,luv
367,2,sorry
368,1,can't feel my face
369,1,hymn for the weekend
370,0,say it
371,2,antidote
372,1,lost boy
373,2,side to side
374,2,"sit still, look pretty"
375,2,wildest dreams
376,1,middle
377,0,on my mind
378,2,pop style
379,2,when we were young
380,1,hide away
381,1,lean on
382,0,i know what you did last summer
383,0,all the way up
384,0,watch me
385,1,back to sleep
386,0,no limit
387,0,cut it
388,0,really really
389,1,all in my head (flex)
390,1,starving
391,1,adventure of a lifetime
392,1,humble and kind
393,2,wicked
394,0,tiimmy turner
395,1,see you again
396,1,perfect
397,0,shape of you
398,2,despacito (remix)
399,0,that's what i like
400,0,humble
401,1,something just like this
402,0,bad and boujee
403,1,closer
404,1,body like a back road
405,2,believer
406,0,congratulations
407,1,say you won't let go
408,0,i'm the one
409,0,xo tour llif3
410,2,mask off
411,1,unforgettable
412,2,24k magic
413,1,stay
414,1,wild thoughts
415,2,black beatles
416,2,starboy
417,1,location
418,1,attention
419,1,there's nothing holdin' me back
420,0,bodak yellow
421,2,redbone
422,1,i don't wanna live forever
423,1,it ain't me
424,0,ispy
425,1,issues
426,1,scars to your beautiful
427,1,1-800-273-8255
428,1,slow hands
429,2,love on the brain
430,1,i feel it coming
431,0,bounce back
432,0,strip that down
433,2,fake love
434,0,don't wanna know
435,0,look what you made me do
436,2,castle on the hill
437,0,bad things
438,1,paris
439,2,side to side
440,1,rockabye
441,1,feel it still
442,1,let me love you
443,2,sorry not sorry
444,0,bank account
445,1,can't stop the feeling!
446,1,mi gente
447,2,thunder
448,0,t-shirt
449,0,rake it up
450,2,mercy
451,2,tunnel vision
452,2,rockstar
453,2,in case you didn't know
454,1,heathens
455,1,now or never
456,0,caroline
457,0,rolex
458,0,dna
459,2,swang
460,1,passionfruit
461,0,loyalty
462,1,praying
463,0,goosebumps
464,1,cold
465,0,broccoli
466,1,slide
467,0,what ifs
468,2,chained to the rhythm
469,1,feels
470,1,all time low
471,1,hurricane
472,1,too good at goodbyes
473,2,young dumb & broke
474,0,magnolia
475,2,love galore
476,0,drowning
477,1,starving
478,0,both
479,1,what about us
480,1,swalla
481,0,slippery
482,1,sign of the times
483,1,water under the bridge
484,2,malibu
485,1,down
486,1,no promises
487,1,treat you better
488,0,i get the bag
489,1,small town boy
490,0,everyday we lit
491,1,havana
492,1,what lovers do
493,1,do re mi
494,0,look at me!
495,2,the fighter
496,1,god's plan
497,1,perfect
498,2,meant to be
499,1,havana
500,2,rockstar
501,0,psycho
502,0,i like it
503,1,the middle
504,0,in my feelings
505,1,girls like you
506,0,nice for what
507,1,lucid dreams
508,2,better now
509,1,finesse
510,1,boo'd up
511,1,new rules
512,1,sad!
513,2,never be the same
514,2,love lies
515,0,no tears left to cry
516,2,mine
517,2,thunder
518,0,look alive
519,1,delicate
520,0,yes indeed
521,1,friends
522,0,bad at love
523,0,taste
524,0,let you down
525,0,no limit
526,0,fefe
527,1,tequila
528,1,feel it still
529,0,motorsport
530,1,i like me better
531,0,youngblood
532,2,whatever it takes
533,0,ric flair drip
534,2,i fall apart
535,1,pray for me
536,1,back to you
537,2,sicko mode
538,0,walk it talk it
539,0,gucci gang
540,0,him & i
541,2,in my blood
542,1,all the stars
543,0,stir fry
544,1,too good at goodbyes
545,0,love
546,0,this is america
547,0,nonstop
548,1,heaven
549,0,bodak yellow
550,0,freaky friday
551,0,gummo
552,1,plug walk
553,1,wait
554,0,be careful
555,1,wolves
556,0,bartier cardi
557,2,god is a woman
558,0,big bank
559,2,sorry not sorry
560,1,how long
561,1,lights down low
562,2,young dumb & broke
563,1,one kiss
564,1,natural
565,1,you make it easy
566,0,shape of you
567,0,i get the bag
568,0,no brainer
569,0,plain jane
570,2,sky walker
571,1,marry me
572,0,eastside
573,2,call out my name
574,0,king's dead
575,1,happier
576,2,simple
577,0,lemon
578,1,1-800-273-8255
579,1,say something
580,2,i'm upset
581,1,get along
582,2,moonlight
583,1,what lovers do
584,2,x
585,0,outside today
586,1,trip
587,0,dura
588,1,changes
589,1,mercy
590,2,one number away
591,0,powerglide
592,1,idgaf
593,1,mi gente
594,2,believer
0,2,Suddenly
1,2,Movies
2,2,It's A Trip!
3,2,Man Of Oil
4,2,Help
5,1,Drag Me Down
6,2,Fever
7,2,Someday
8,2,Saturday
9,2,Lunch
10,2,Beware of the Dogs
11,2,Cruel
12,1,Meet Me in the Morning
13,2,Small Foreign Faction
14,2,Rabbit
15,0,RICKY
16,0,Obamacare
17,0,1998 TRUMAN
18,0,4th Dimension
19,2,Midsummer Madness
20,1,Moderation
21,1,My Mistake - Piano Version
22,1,Harlem
23,1,Act of the Apostle II
24,2,Video Child
25,2,Bony Shelter
26,2,Now & Then
27,2,Follow Me
28,2,World On Fire
29,2,Looking for Knives
30,1,Absence
31,2,Phospholipid
32,1,Chateau
33,1,1996
34,2,Think It Over
35,2,Expectations
36,1,Leave It Alone
37,2,Video Child
38,2,Lovesick
39,2,Cruel World
40,1,Waiting Room
41,1,sublime
42,2,Ultralife
43,2,Without You
44,2,Same Drugs
45,2,Better Parts
46,2,Follow Me
47,1,This Strange Effect
48,2,Orchids
49,2,blood to gold
50,2,Spacin Out
51,1,Two Weeks
52,2,Losing All Sense
53,1,Little Numbers
54,1,Youth
55,1,Technicolour Beat
56,2,Sky Blush
57,2,Pacing
58,2,lovers’ carvings
59,2,Swim
60,1,The Prince Of The Hanging Gardens
61,2,Taking Up Space
62,2,Drifty
63,1,Drifty
64,1,Love More
65,1,Be The One
66,0,Guns
67,1,Light Years
68,2,Cattails
69,1,Seventeen
70,0,Song 31
71,1,Andromeda
72,1,Exits
73,2,Work This Time
74,2,Mythological Beauty
75,2,Let It Pass
76,2,Velvet Light
77,1,Something For Your M.I.N.D.
78,2,Still Run (feat. Starchild & The New Romantic)
79,0,REEL IT IN
80,1,Summer's Gone
81,2,Pearly Gates
82,2,Fallingwater
83,2,Appointments
84,1,Meadows
85,2,Safe
86,0,Grace
87,0,Been
88,1,Sirens
89,2,Vices
90,2,Friends
91,2,Flow
92,2,Darkroom
93,1,Polar Opposites
94,2,Silver Lining
95,0,CLONES
96,2,Every Time the Sun Comes Up
97,1,Mornington Crescent
98,2,Ooh Song
99,2,Pleasure
